Province,Barangay,ZIP Code
Antique,Hamtic,5715
Antique,Laua-an,5705
Antique,Libertad,5710
Antique,Pandan,5712
Antique,Patnongon,5702
Antique,San Jose,5700
Antique,San Remegio,5714
Antique,Sebaste,5709
Antique,Sibalom,5713
Antique,Tibiao,5707
Antique,Tobias Fornier (Dao),5716
Antique,Valderrama,5703
Apayao,Calanasan,3814
Apayao,Conner,3807
Apayao,Flora,3810
Apayao,Kabugao,3809
Apayao,Luna,3813
Apayao,Pudtol,3812
Apayao,Sta. Marcela,3811
Aurora,Baler,3200
Aurora,Casiguran,3204
Aurora,Dilasag,3205
Aurora,Dinalungan,3206
Aurora,Dingalan,3207
Aurora,Dipaculao,3203
Aurora,Maria Aurora,3202
Aurora,San Luis,3201
Basilan,Akbar,7307
Basilan,Al-Barka,7308
Basilan,Hadji Mohammad Ajul,7309
Basilan,Hadji Muhtamad,7310
Basilan,Isabela de Basilan,7300
Basilan,Lamitan,7302
Basilan,Lantawan,7301
Basilan,Maluso,7303
Basilan,Sumisip,7305
Basilan,Tabuan-Lasa,7312
Basilan,Tipo-Tipo,7304
Basilan,Tuburan,7306
Basilan,Ungkaya Pukan,7311
Bataan,Abucay,2114
Bataan,Cabcaben,2109
Bataan,Bagac,2107
Bataan,Balanga,2100
Bataan,Bataan Export Processing Zone,2106
Bataan,Dinalupihan,2110
Bataan,Hermosa,2111
Bataan,Lamao,2104
Bataan,Limay,2103
Bataan,Mariveles,2105
Bataan,Morong,2108
Bataan,Orani,2112
Bataan,Orion,2102
Bataan,Pilar,2101
Bataan,Samal,2113
Batanes,Basco,3900
Batanes,Itbayat,3905
Batanes,Ivana,3902
Batanes,Mahatao,3901
Batanes,Sabtang,3904
Batanes,Uyugan,3903
Batangas,Agoncillo,4211
Batangas,Alitagtag,4205
Batangas,Balayan,4213
Batangas,Balete,4219
Batangas,Batangas City,4200
Batangas,Bauan,4201
Batangas,Calaca,4212
Batangas,Calatagan,4215
Batangas,Cuenca,4222
Batangas,Fernando Airbase,4218
Batangas,Ibaan,4230
Batangas,Laurel,4221
Batangas,Lemery,4209
Batangas,Lian,4216
Batangas,Lipa City,4217
Batangas,Lobo,4229
Batangas,Mabini,4202
Batangas,Malvar,4233
Batangas,Mataas na Kahoy,4223
Batangas,Nasugbu,4231
Batangas,Padre Garcia,4224
Batangas,Rosario,4225
Batangas,San Jose,4227
Batangas,San Juan,4226
Batangas,San Luis,4210
Batangas,San Nicolas,4207
Batangas,San Pascual,4204
Batangas,Sta. Teresita,4206
Batangas,Sto. Tomas,4234
Batangas,Taal,4208
Batangas,Talisay,4220
Batangas,Tanauan,4232
Batangas,Taysan,4228
Batangas,Tingloy,4203
Batangas,Tuy,4214
Benguet,Atok,2612
Benguet,Baguio City,2600
Benguet,Bakun,2610
Benguet,Bokod,2605
Benguet,Bugias,2607
Benguet,Itogon,2604
Benguet,Kabayan,2606
Benguet,Kapangan,2613
Benguet,Kibungan,2611
Benguet,La Trinidad,2601
Benguet,Lepanto,2609
Benguet,Mankayan,2608
Benguet,Philippine Military Academy (PMA),2602
Benguet,Sablan,2614
Benguet,Tuba,2603
Benguet,Tublay,2615
Biliran,Almeria,6544
Biliran,Biliran,6549
Biliran,Cabucgayan,6550
Biliran,Caibiran,6548
Biliran,Culaba,6547
Biliran,Kawayan,6545
Biliran,Maripipi,6546
Biliran,Naval,6543
Bohol,Alburquerque,6302
Bohol,Alicia,6314
Bohol,Anda,6311
Bohol,Antequera,6335
Bohol,Baclayon,6301
Bohol,Balilihan,6342
Bohol,Batuan,6318
Bohol,Bien Unido,6326
Bohol,Bilar,6317
Bohol,Buenavista,6333
Bohol,Calape,6328
Bohol,Candijay,6312
Bohol,Carmen,6319
Bohol,Catigbian,6343
Bohol,Clarin,6330
Bohol,Corella,6337
Bohol,Cortes,6341
Bohol,Dagohoy,6322
Bohol,Danao,6344
Bohol,Dauis,6339
Bohol,Dimiao,6305
Bohol,Duero,6309
Bohol,Garcia Hernandez,6307
Bohol,Guindulman,6310
Bohol,Inabanga,6332
Bohol,Jagna,6308
Bohol,Jetafe,6334
Bohol,Lila,6304
Bohol,Loay,6303
Bohol,Loboc,6316
Bohol,Loon,6327
Bohol,Mabini,6313
Bohol,Maribojoc,6336
Bohol,Panglao,6340
Bohol,Pilar,6321
Bohol,President Carlos P. Garcia,6346
Bohol,Sagbayan,6331
Bohol,San Isidro,6345
Bohol,San Miguel,6323
Bohol,Sevilla,6347
Bohol,Sierra Bullones,6320
Bohol,Sikatuna,6338
Bohol,Tagbilaran City,6300
Bohol,Talibon,6325
Bohol,Trinidad,6324
Bohol,Tubigon,6329
Bohol,Ubay,6315
Bohol,Valencia,6306
Bukidnon,Baungon,8707
Bukidnon,Cabanglasan,8723
Bukidnon,Damulog,8721
Bukidnon,Dangcagan,8719
Bukidnon,Don Carlos,8712
Bukidnon,Impasugong,8702
Bukidnon,Kadingilan,8713
Bukidnon,Kalilangan,8718
Bukidnon,Kibawe,8720
Bukidnon,Kitaotao,8716
Bukidnon,Lantapan,8722
Bukidnon,Libona,8706
Bukidnon,Malaybalay,8700
Bukidnon,Malitbog,8704
Bukidnon,Manolo Fortich,8703
Bukidnon,Maramag,8714
Bukidnon,Musuan,8710
Bukidnon,Pangantucan,8717
Bukidnon,Phillips,8705
Bukidnon,Quezon,8715
Bukidnon,San Fernando,8711
Bukidnon,Sumilao,8701
Bukidnon,Talakag,8708
Bukidnon,Valencia,8709
Bulacan,Angat,3012
Bulacan,Balagtas,3016
Bulacan,Baliuag,3006
Bulacan,Bocaue,3018
Bulacan,Bulacan,3017
Bulacan,Bustos,3007
Bulacan,Calumpit,3003
Bulacan,Cruz na Daan,3025
Bulacan,Doña Remedios Trinidad,3009
Bulacan,Guiguinto,3015
Bulacan,Hagonoy,3002
Bulacan,Malolos,3000
Bulacan,Marilao,3019
Bulacan,Meycauayan,3020
Bulacan,Norzagaray,3013
Bulacan,Obando,3021
Bulacan,Pandi,3014
Bulacan,Paombong,3001
Bulacan,Plaridel,3004
Bulacan,Pulilan,3005
Bulacan,San Ildefonso,3010
Bulacan,San Jose Del Monte,3023
Bulacan,San Miguel,3011
Bulacan,San Rafael,3008
Bulacan,Sapang Palay,3024
Bulacan,Sta. Maria,3022
Cagayan,Abulug,3517
Cagayan,Alcala,3507
Cagayan,Allacapan,3523
Cagayan,Amulung,3505
Cagayan,Aparri,3515
Cagayan,Baggao,3506
Cagayan,Ballesteros,3516
Cagayan,Buguey,3511
Cagayan,Calayan,3520
Cagayan,Camalaniugan,3510
Cagayan,Claveria,3519
Cagayan,Enrile,3501
Cagayan,Gattaran,3508
Cagayan,Gonzaga,3513
Cagayan,Iguig,3504
Cagayan,Lal-lo,3509
Cagayan,Lasam,3524
Cagayan,Pamplona,3522
Cagayan,Peñablanca,3502
Cagayan,Piat,3527
Cagayan,Rizal,3526
Cagayan,Sanchez Mira,3518
Cagayan,Solana,3503
Cagayan,Sta. Ana,3514
Cagayan,Sta. Praxedes,3521
Cagayan,Sta. Teresita,3512
Cagayan,Sto. Niño,3525
Cagayan,Tuao,3528
Cagayan,Tuguegarao City,3500
Camarines Norte,Basud,4608
Camarines Norte,Capalonga,4607
Camarines Norte,Daet,4600
Camarines Norte,San Lorenzo Ruiz (formerly Imelda),4610
Camarines Norte,Jose Panganiban,4606
Camarines Norte,Labo,4604
Camarines Norte,Mercedes,4601
Camarines Norte,Paracale,4605
Camarines Norte,San Vicente,4609
Camarines Norte,Sta. Elena,4611
Camarines Norte,Talisay,4602
Camarines Norte,Tulay na Lupa,4612
Camarines Norte,Vinzons,4603
Camarines Sur,Baao,4432
Camarines Sur,Balatan,4436
Camarines Sur,Bato,4435
Camarines Sur,Bombon,4404
Camarines Sur,Buhi,4433
Camarines Sur,Bula,4430
Camarines Sur,Cabusao,4406
Camarines Sur,Calabanga,4405
Camarines Sur,Camaligan,4401
Camarines Sur,Canaman,4402
Camarines Sur,Caramoan,4429
Camarines Sur,Del Gallego,4411
Camarines Sur,Gainza,4412
Camarines Sur,Garchitorena,4428
Camarines Sur,Goa,4422
Camarines Sur,Iriga City,4431
Camarines Sur,Lagonoy,4425
Camarines Sur,Libmanan,4407
Camarines Sur,Lupi,4409
Camarines Sur,Magarao,4403
Camarines Sur,Milaor,4413
Camarines Sur,Minalabac,4414
Camarines Sur,Nabua,4434
Camarines Sur,Naga City,4400
Camarines Sur,Ocampo,4419
Camarines Sur,Pamplona,4416
Camarines Sur,Pasacao,4417
Camarines Sur,Pili,4418
Camarines Sur,Presentacion,4424
Camarines Sur,Ragay,4410
Camarines Sur,Sagnay,4421
Camarines Sur,San Fernando,4415
Camarines Sur,San Jose,4423
Camarines Sur,Sipocot,4408
Camarines Sur,Siruma,4427
Camarines Sur,Tigaon,4420
Camarines Sur,Tinambac,4426
Camiguin,Catarman,9104
Camiguin,Guinsiliban,9102
Camiguin,Mahinog,9101
Camiguin,Mambajao,9100
Camiguin,Sagay,9103
Capiz,Cuartero,5811
Capiz,Dao,5810
Capiz,Dumalag,5813
Capiz,Dumarao,5812
Capiz,Ivisan,5805
Capiz,Jamindan,5808
Capiz,Ma-ayon,5809
Capiz,Mambusao,5807
Capiz,Panay,5801
Capiz,Panitan,5815
Capiz,Pilar,5804
Capiz,Pres. Roxas,5803
Capiz,Pontevedra,5802
Capiz,Roxas City,5800
Capiz,Sapian,5806
Capiz,Sigma,5816
Capiz,Tapaz,5814
Catanduanes,Bagamanoc,4807
Catanduanes,Baras,4803
Catanduanes,Bato,4801
Catanduanes,Caramoran,4808
Catanduanes,Gigmoto,4804
Catanduanes,Pandan,4809
Catanduanes,Panganiban,4806
Catanduanes,San Andres,4810
Catanduanes,San Miguel,4802
Catanduanes,Viga,4805
Catanduanes,Virac,4800
Cavite,1st Cavite Industrial Estate,4126
Cavite,Alfonso,4123
Cavite,Amadeo,4119
Cavite,Bacoor,4102
Cavite,Carmona,4116
Cavite,Cavite City,4100
Cavite,Cavite Naval Base,4101
Cavite,Corregidor,4125
Cavite,Dasmariñas,4114
Cavite,Dasmariñas Resettlement Area,4115
Cavite,Gen. Aguinaldo (Bailen),4124
Cavite,Gen. Mariano Alvarez,4117
Cavite,Gen. Trias,4107
Cavite,Imus,4103
Cavite,Indang,4122
Cavite,Kawit,4104
Cavite,Magallanes,4113
Cavite,Maragondon,4112
Cavite,Mendez,4121
Cavite,Molino,4135
Cavite,Naic,4110
Cavite,Noveleta,4105
Cavite,Rosario,4106
Cavite,Silang,4118
Cavite,Tagaytay,4120
Cavite,Tanza,4108
Cavite,Ternate,4111
Cavite,Trece Martirez City,4109
Cebu,Alcantara,6033
Cebu,Alcoy,6023
Cebu,Alegria,6030
Cebu,Aloguinsan,6040
Cebu,Argao,6021
Cebu,Asturias,6042
Cebu,Badian,6031
Cebu,Balamban,6041
Cebu,Bantayan,6052
Cebu,Barili,6036
Cebu,Bogo,6010
Cebu,Boljoon,6024
Cebu,Borbon,6008
Cebu,Carcar,6019
Cebu,Carmen,6005
Cebu,Catmon,6006
Cebu,Cebu City,6000
Cebu,Compostela,6003
Cebu,Consolacion,6001
Cebu,Cordova,6017
Cebu,Daang-Bantayan,6013
Cebu,Dalaguete,6022
Cebu,Danao City,6004
Cebu,Dumanjug,6035
Cebu,Ginatilan,6028
Cebu,Lapu-Lapu City,6015
Cebu,Liloan,6002
Cebu,Mactan Airport,6016
Cebu,Madridejos,6053
Cebu,Malabuyoc,6029
Cebu,Mandaue City,6014
Cebu,Medellin,6012
Cebu,Minglanilla,6046
Cebu,Moalboal,6032
Cebu,Naga,6037
Cebu,Oslob,6025
Cebu,Pilar,6048
Cebu,Pinamungajan,6039
Cebu,Poro,6049
Cebu,Ronda,6034
Cebu,Samboan,6027
Cebu,San Fernando,6018
Cebu,San Francisco,6050
Cebu,San Remegio,6011
Cebu,Santa Fe,6047
Cebu,Santander,6026
Cebu,Sibonga,6020
Cebu,Sogod,6007
Cebu,Tabogon,6009
Cebu,Tabuelan,6044
Cebu,Talisay,6045
Cebu,Toledo City,6038
Cebu,Tuburan,6043
Cebu,Tudela,6051
Davao de Oro (Compostela Valley),Compostela,8803
Davao de Oro (Compostela Valley),Laak (formerly San Vicente),8810
Davao de Oro (Compostela Valley),Mabini,8807
Davao de Oro (Compostela Valley),Maco,8806
Davao de Oro (Compostela Valley),Maragusan (formerly San Mariano),8808
Davao de Oro (Compostela Valley),Mawab,8802
Davao de Oro (Compostela Valley),Monkayo,8805
Davao de Oro (Compostela Valley),Montevista,8801
Davao de Oro (Compostela Valley),Nabunturan,8800
Davao de Oro (Compostela Valley),New Bataan,8804
Davao de Oro (Compostela Valley),Pantukan,8809
Davao del Norte,Asuncion (formerly Saug),8102
Davao del Norte,Babak,8118
Davao del Norte,Braulio E. Dujali,8106
Davao del Norte,Carmen,8101
Davao del Norte,Kapalong,8113
Davao del Norte,Kaputian,8120
Davao del Norte,New Corella,8104
Davao del Norte,Panabo,8105
Davao del Norte,Samal,8119
Davao del Norte,San Isidro,8121
Davao del Norte,Santo Tomas,8112
Davao del Norte,Tagum,8100
Davao del Norte,Talaingod,8107
Davao del Sur,Ateneo,8016
Davao del Sur,Bansalan,8005
Davao del Sur,Bunawan,8017
Davao del Sur,Calinan,8018
Davao del Sur,Davao City,8000
Davao del Sur,Davao International Airport,8019
Davao del Sur,Digos,8002
Davao del Sur,Hagonoy,8006
Davao del Sur,Kiblawan,8008
Davao del Sur,Magsaysay,8004
Davao del Sur,Malalag,8010
Davao del Sur,Mandug,8020
Davao del Sur,Matanao,8003
Davao del Sur,Matina,8021
Davao del Sur,Mintal,8022
Davao del Sur,Padada,8007
Davao del Sur,Santa Cruz,8001
Davao del Sur,Sulop,8009
Davao del Sur,Talomo,8023
Davao del Sur,Tibungco,8024
Davao del Sur,Toril,8025
Davao del Sur,University of Mindanao,8026
Davao Occidental,Don Marcelino,8013
Davao Occidental,Jose Abad Santos,8014
Davao Occidental,Malita,8012
Davao Occidental,Santa Maria,8011
Davao Occidental,Sarangani,8015
Davao Oriental,Baganga,8204
Davao Oriental,Banaybanay,8208
Davao Oriental,Boston,8206
Davao Oriental,Caraga,8203
Davao Oriental,Cateel,8205
Davao Oriental,Gov. Generoso,8210
Davao Oriental,Lupon,8207
Davao Oriental,Manay,8202
Davao Oriental,Mati,8200
Davao Oriental,San Isidro,8209
Davao Oriental,Tarragona,8201
Dinagat Islands,Basilisa (formerly Rizal),8413
Dinagat Islands,Cagdianao,8411
Dinagat Islands,Dinagat,8412
Dinagat Islands,Libjo (formerly Albor),8414
Dinagat Islands,Loreto,8415
Dinagat Islands,San Jose,8427
Dinagat Islands,Tubajon,8426
Eastern Samar,Arteche,6822
Eastern Samar,Balangiga,6812
Eastern Samar,Balangkayan,6801
Eastern Samar,Borongan,6800
Eastern Samar,Can-Avid,6806
Eastern Samar,Dolores,6817
Eastern Samar,Gen. MacArthur,6805
Eastern Samar,Giporlos,6811
Eastern Samar,Guiuan,6809
Eastern Samar,Hernani,6804
Eastern Samar,Jipapad,6819
Eastern Samar,Lawaan,6813
Eastern Samar,Llorente,6803
Eastern Samar,Maslog,6820
Eastern Samar,Maydolong,6802
Eastern Samar,Mercedes,6808
Eastern Samar,Oras,6818
Eastern Samar,Quinapondan,6810
Eastern Samar,Salcedo,6807
Eastern Samar,San Julian,6814
Eastern Samar,San Policarpio,6821
Eastern Samar,Sulat,6815
Eastern Samar,Taft,6816
Guimaras,Buenavista,5044
Guimaras,Jordan,5045
Guimaras,Nueva Valencia,5046
Guimaras,San Lorenzo,5047
Guimaras,Sibunag,5048
Ifugao,Aguinaldo,3606
Ifugao,Asipulo,3610
Ifugao,Banaue,3601
Ifugao,Hingyon,3607
Ifugao,Hungduan,3603
Ifugao,Kiangan,3604
Ifugao,Lagawe,3600
Ifugao,Lamut,3605
Ifugao,Mayoyao,3602
Ifugao,Potia,3608
Ifugao,Tinoc,3609
Ilocos Norte,Adams,2922
Ilocos Norte,Bacarra,2916
Ilocos Norte,Badoc,2904
Ilocos Norte,Bangui,2920
Ilocos Norte,Batac,2906
Ilocos Norte,Burgos,2918
Ilocos Norte,Carasi,2911
Ilocos Norte,Currimao,2903
Ilocos Norte,Dingras,2913
Ilocos Norte,Dumalneg,2921
Ilocos Norte,Espiritu,2908
Ilocos Norte,Laoag City,2900
Ilocos Norte,Marcos,2907
Ilocos Norte,Nueva Era,2909
Ilocos Norte,Pagudpud,2919
Ilocos Norte,Paoay,2902
Ilocos Norte,Pasuquin,2917
Ilocos Norte,Piddig,2912
Ilocos Norte,Pinili,2905
Ilocos Norte,San Nicolas,2901
Ilocos Norte,Sarrat,2914
Ilocos Norte,Solsona,2910
Ilocos Norte,Vintar,2915
Ilocos Sur,Alilem,2716
Ilocos Sur,Banayoyo,2708
Ilocos Sur,Bantay,2727
Ilocos Sur,Burgos,2724
Ilocos Sur,Cabugao,2732
Ilocos Sur,Candon,2710
Ilocos Sur,Caoayan,2702
Ilocos Sur,Cervantes,2718
Ilocos Sur,Galimuyod,2709
Ilocos Sur,Gregorio del Pilar,2720
Ilocos Sur,Lidlida,2723
Ilocos Sur,Magsingal,2730
Ilocos Sur,Nagbukel,2725
Ilocos Sur,Narvacan,2704
Ilocos Sur,Quirino,2721
Ilocos Sur,Salcedo,2711
Ilocos Sur,San Emilio,2722
Ilocos Sur,San Esteban,2706
Ilocos Sur,San Ildefonso,2728
Ilocos Sur,San Juan,2731
Ilocos Sur,San Vicente,2726
Ilocos Sur,Santa,2703
Ilocos Sur,Santa Catalina,2701
Ilocos Sur,Santa Cruz,2713
Ilocos Sur,Santa Lucia,2712
Ilocos Sur,Santa Maria,2705
Ilocos Sur,Santiago,2707
Ilocos Sur,Santo Domingo,2729
Ilocos Sur,Sigay,2719
Ilocos Sur,Sinait,2733
Ilocos Sur,Sugpon,2717
Ilocos Sur,Suyo,2715
Ilocos Sur,Tagudin,2714
Ilocos Sur,Vigan,2700
Iloilo,Ajuy,5012
Iloilo,Alimodian,5028
Iloilo,Anilao,5009
Iloilo,Badiangan,5033
Iloilo,Balasan,5018
Iloilo,Banate,5010
Iloilo,Barotac Nuevo,5007
Iloilo,Barotac Viejo,5011
Iloilo,Batad,5016
Iloilo,Bingawan,5041
Iloilo,Cabatuan,5031
Iloilo,Calinog,5040
Iloilo,Carles,5019
Iloilo,Concepcion,5013
Iloilo,Dingle,5035
Iloilo,Dueñas,5038
Iloilo,Dumangas,5006
Iloilo,Estancia,5017
Iloilo,Guimbal,5022
Iloilo,Igbaras,5029
Iloilo,Iloilo City,5000
Iloilo,Janiuay,5034
Iloilo,Lambunao,5042
Iloilo,Leganes,5003
Iloilo,Lemery,5043
Iloilo,Leon,5026
Iloilo,Maasin,5030
Iloilo,Miagao,5023
Iloilo,Mina,5032
Iloilo,New Lucena,5005
Iloilo,Oton,5020
Iloilo,Passi,5037
Iloilo,Pavia,5001
Iloilo,Pototan,5008
Iloilo,San Dionisio,5015
Iloilo,San Enrique,5036
Iloilo,San Joaquin,5024
Iloilo,San Miguel,5025
Iloilo,San Rafael,5039
Iloilo,Santa Barbara,5002
Iloilo,Sara,5014
Iloilo,Tigbauan,5021
Iloilo,Tubungan,5027
Iloilo,Zarraga,5004
Isabela,Alicia,3306
Isabela,Angadanan,3307
Isabela,Aurora,3316
Isabela,Benito Soliven,3331
Isabela,Burgos,3322
Isabela,Cabagan,3328
Isabela,Cabatuan,3315
Isabela,City of Cauayan,3305
Isabela,City of Ilagan,3300
Isabela,Cordon,3312
Isabela,Delfin Albano,3326
Isabela,Dinapigue,3336
Isabela,Divilacan,3335
Isabela,Echague,3309
Isabela,Gamu,3301
Isabela,Jones,3313
Isabela,Luna,3304
Isabela,Maconacon,3333
Isabela,Mallig,3323
Isabela,Naguillan,3302
Isabela,Palanan,3334
Isabela,Quezon,3324
Isabela,Quirino,3321
Isabela,Ramon,3319
Isabela,Reina Mercedes,3303
Isabela,Roxas,3320
Isabela,San Agustin,3314
Isabela,San Guillermo,3308
Isabela,San Isidro,3310
Isabela,San Manuel,3317
Isabela,San Mariano,3332
Isabela,San Mateo,3318
Isabela,San Pablo,3329
Isabela,Santiago CIty,3311
Isabela,Sta. Maria,3330
Isabela,Sto. Tomas,3327
Isabela,Tumauini,3325
Kalinga,Balbalan,3801
Kalinga,Lubuagan,3802
Kalinga,Pasil,3803
Kalinga,Pinukpok,3806
Kalinga,Rizal,3808
Kalinga,Tabuk City,3800
Kalinga,Tanudan,3805
Kalinga,Tinglayan,3804
La Union,Agoo,2504
La Union,Aringay,2503
La Union,Bacnotan,2515
La Union,Bagulin,2512
La Union,Balaoan,2517
La Union,Bangar,2519
La Union,Bauang,2501
La Union,Burgos,2510
La Union,Caba,2502
La Union,Damortis,2507
La Union,Luna,2518
La Union,Naguilian,2511
La Union,Pugo,2508
La Union,Rosario,2506
La Union,San Fernando,2500
La Union,San Gabriel,2513
La Union,San Juan,2514
La Union,Santol,2516
La Union,Sto. Tomas,2505
La Union,Sudipen,2520
La Union,Tubao,2509
Laguna,Alaminos,4001
Laguna,Bay,4033
Laguna,Biñan,4024
Laguna,Botocan,4006
Laguna,Cabuyao,4025
Laguna,Calamba,4027
Laguna,Caluan,4012
Laguna,Camp Vicente Lim,4029
Laguna,Canlubang,4028
Laguna,Cavinti,4013
Laguna,College Los Baños,4031
Laguna,Famy,4021
Laguna,Kalayaan,4015
Laguna,Laguna Technopark,4034
Laguna,Liliw,4004
Laguna,Los Baños,4030
Laguna,Luisiana,4032
Laguna,Lumban,4014
Laguna,Mabitac,4020
Laguna,Magdalena,4007
Laguna,Majayjay,4005
Laguna,Nagcarlan,4002
Laguna,Paete,4016
Laguna,Pagsanjan,4008
Laguna,Pakil,4017
Laguna,Pangil,4018
Laguna,Pila,4010
Laguna,Rizal,4003
Laguna,San Pablo City,4000
Laguna,San Pedro,4023
Laguna,Siniloan,4019
Laguna,Sta. Cruz,4009
Laguna,Sta. Maria,4022
Laguna,Sta. Rosa,4026
Laguna,Victoria,4011
Lanao del Norte,Bacolod,9205
Lanao del Norte,Baloi,9217
Lanao del Norte,Baroy,9210
Lanao del Norte,Iligan City,9200
Lanao del Norte,Kapatagan,9214
Lanao del Norte,Kauswagan,9202
Lanao del Norte,Kolambugan,9207
Lanao del Norte,Lala,9211
Lanao del Norte,Linamon,9201
Lanao del Norte,Magsaysay,9221
Lanao del Norte,Maigo,9206
Lanao del Norte,Matungao,9203
Lanao del Norte,Munai,9219
Lanao del Norte,Nunungan,9216
Lanao del Norte,Pantao Ragat,9208
Lanao del Norte,Pantar,9218
Lanao del Norte,Poona Piagapo,9204
Lanao del Norte,Salvador,9212
Lanao del Norte,Sapad,9213
Lanao del Norte,Sultan Naga Dimaporo (formerly Karomatan),9215
Lanao del Norte,Tagoloan,9222
Lanao del Norte,Tangcal,9220
Lanao del Norte,Tubod,9209
Lanao del Sur,Bacolod Grande,9316
Lanao del Sur,Balabagan,9302
Lanao del Sur,Bayang,9309
Lanao del Sur,Balindong,9318
Lanao del Sur,Binidayan,9310
Lanao del Sur,Buadiposo Buntong,9714
Lanao del Sur,Bubong,9708
Lanao del Sur,Bumbaran,9320
Lanao del Sur,Butig,9305
Lanao del Sur,Calanogas,9319
Lanao del Sur,Ganassi,9311
Lanao del Sur,Kapai,9709
Lanao del Sur,Kapatagan,9322
Lanao del Sur,Lumba Bayabao,9703
Lanao del Sur,Lumbaca Unayan,9323
Lanao del Sur,Lumbatan,9307
Lanao del Sur,Lumbayanague,9306
Lanao del Sur,Macador Andong,9308
Lanao del Sur,Madalum,9315
Lanao del Sur,Madamba,9314
Lanao del Sur,Maguing,9715
Lanao del Sur,Malabang,9300
Lanao del Sur,Marantao,9711
Lanao del Sur,Marawi City,9700
Lanao del Sur,Marogong,9303
Lanao del Sur,Masiu,9706
Lanao del Sur,Mulondo,9702
Lanao del Sur,Pagayawan,9312
Lanao del Sur,Piagapo,9710
Lanao del Sur,Picong (formerly Sultan Gumander),9301
Lanao del Sur,Poona Bayabao,9705
Lanao del Sur,Pualas,9313
Lanao del Sur,Ramain-Ditsaan,9713
Lanao del Sur,Saguiaran,9701
Lanao del Sur,Sultan Domalondong,9324
Lanao del Sur,Sultan Gumander,9301
Lanao del Sur,Tagoloan - II,9321
Lanao del Sur,Tamparan,9704
Lanao del Sur,Taraka,9712
Lanao del Sur,Tubaran,9304
Lanao del Sur,Tugaya,9317
Lanao del Sur,Wao,9716
Leyte,Abuyog,6510
Leyte,Alangalang,6517
Leyte,Albuera,6542
Leyte,Babatngon,6520
Leyte,Burauen,6516
Leyte,Barugo,6519
Leyte,Bato,6525
Leyte,Baybay,6521
Leyte,Calubian,6534
Leyte,Capoocan,6530
Leyte,Carigara,6529
Leyte,Dagami,6515
Leyte,Dulag,6505
Leyte,Hilongos,6524
Leyte,Hindang,6523
Leyte,Inopacan,6522
Leyte,Isabel,6539
Leyte,Jaro,6527
Leyte,Javier,6511
Leyte,Julita,6506
Leyte,Kananga,6531
Leyte,La Paz,6508
Leyte,Leyte,6533
Leyte,Macarthur,6509
